ds,yhat
2015-01-01,0.5318763836231355
2015-01-02,0.4623703864941735
2015-01-03,1.431088761032882
2015-01-04,0.7601237890161183
2015-01-05,1.21166608676287
2015-01-06,2.4928236549377156
2015-01-07,0.9274014404591151
2015-01-08,0.6310113803898378
2015-01-09,0.4938678318162504
2015-01-10,1.3964292150891744
2015-01-11,0.6626498217961831
2015-01-12,1.056487500269653
2015-01-13,2.286680764389497
2015-01-14,0.6784892558904998
2015-01-15,0.3487684671643496
2015-01-16,0.188734491831962
2015-01-17,1.0795803987339374
2015-01-18,0.34570883432013133
2015-01-19,0.7512270882007313
2015-01-20,2.004718543389845
2015-01-21,0.4309846600414149
2015-01-22,0.14612845291285037
2015-01-23,0.040335114236456526
2015-01-24,0.993511092763689
2015-01-25,0.32854578391376865
2015-01-26,0.8078414585630371
2015-01-27,2.138124599331591
2015-01-28,0.6422319104953838
2015-01-29,0.4342409683079387
2015-01-30,0.40230008062037026
2015-01-31,1.424317519125871
2015-02-01,0.8212730934045291
2015-02-02,1.35379649786137
2015-02-03,2.727024421794915
2015-02-04,1.2624285565726545
2015-02-05,1.0729834086409253
2015-02-06,1.0460275300062998
2015-02-07,2.058977497515706
2015-02-08,1.4326569252944812
2015-02-09,1.9278844222521037
2015-02-10,3.250332146785665
2015-02-11,1.722346945618936
2015-02-12,1.458103036591373
2015-02-13,1.3464400973139883
2015-02-14,2.266546537440359
2015-02-15,1.54125087325815
2015-02-16,1.9335659262368452
2015-02-17,3.1514984650930074
2015-02-18,1.5198173827053534
2015-02-19,1.1551505834217517
2015-02-20,0.9487657422805338
2015-02-21,1.7821960664165304
2015-02-22,0.980475351070889
2015-02-23,1.308628413291225
2015-02-24,2.476430838993902
2015-02-25,0.8101323731078809
2015-02-26,0.42751525755136033
2015-02-27,0.22064367041608968
2015-02-28,1.0714662249837312
2015-03-01,0.3050364641102288
2015-03-02,0.6859978731043759
2015-03-03,1.9233475711482586
2015-03-04,0.3421730113203365
2015-03-05,0.05873276895193236
