ds,yhat
2019-09-19,0.6555035554382443
2019-09-20,0.6317525400647288
2019-09-21,0.43043751647481127
2019-09-22,0.1360045024428334
2019-09-23,0.36308513680643845
2019-09-24,0.5523240564310258
2019-09-25,0.6579554522260156
2019-09-26,0.23977616933994148
2019-09-27,0.23169271926868382
2019-09-28,0.052481569454025434
2019-09-29,-0.21422736878613108
2019-09-30,0.04528958543496553
2019-10-01,0.27070217647924877
2019-10-02,0.4152284727323577
2019-10-03,0.03763378543579682
2019-10-04,0.07080295556517291
2019-10-05,-0.0674752510448281
2019-10-06,-0.29450229625712987
2019-10-07,0.002590555475297185
2019-10-08,0.2627119312222127
2019-10-09,0.4386485152832653
2019-10-10,0.08841032289944112
2019-10-11,0.14447521163327653
2019-10-12,0.024355717425725343
2019-10-13,-0.18939461787039297
2019-10-14,0.11607626285590739
2019-10-15,0.379782525494782
2019-10-16,0.5545080565030861
2019-10-17,0.19880488083918474
2019-10-18,0.24555934505314217
2019-10-19,0.11276519642725591
2019-10-20,-0.11648658089118169
2019-10-21,0.17123257740643413
2019-10-22,0.4155350694392681
2019-10-23,0.5698077114565268
2019-10-24,0.1931938989850188
2019-10-25,0.21914472191034115
2019-10-26,0.06617853172157362
2019-10-27,-0.18214087045060184
2019-10-28,0.08802656636193223
2019-10-29,0.31663612857397194
2019-10-30,0.45734402579181677
2019-10-31,0.06948704953271634
2019-11-01,0.08663352648146067
2019-11-02,-0.07265503031619108
2019-11-03,-0.32484162609458833
2019-11-04,-0.056177042026625434
2019-11-05,0.1731466280232101
2019-11-06,0.31659037061961887
2019-11-07,-0.066742491389915
2019-11-08,-0.04354520086749908
2019-11-09,-0.19553559451240166
2019-11-10,-0.4394636069274611
2019-11-11,-0.16186481146013398
2019-11-12,0.07679500785511062
2019-11-13,0.22972220547285666
2019-11-14,-0.1442087304337618
2019-11-15,-0.11188871553103236
2019-11-16,-0.2551982132658179
2019-11-17,-0.4910123857740731
2019-11-18,-0.2059538091318252
2019-11-19,0.03946230842651666
2019-11-20,0.1984284617578856
2019-11-21,-0.1701623899829408
2019-11-22,-0.13315463056884413
2019-11-23,-0.2723592222078589
2019-11-24,-0.5045645351406551
2019-11-25,-0.21629508172451245
2019-11-26,0.032037156550219326
2019-11-27,0.19372711000499493
2019-11-28,-0.17223618749893294
2019-11-29,-0.13261238217053983
2019-11-30,-0.2691432396417471
2019-12-01,-0.4985667610588719
2019-12-02,-0.2073781805426252
2019-12-03,0.04401753128657121
2019-12-04,0.20889997890309958
2019-12-05,-0.1537784517280103
2019-12-06,-0.11083334293443148
2019-12-07,-0.2440787353170381
2019-12-08,-0.4703375168214047
2019-12-09,-0.1761980822366475
2019-12-10,0.07783792325472252
2019-12-11,0.2449548936571837
2019-12-12,-0.11598354498446489
2019-12-13,-0.07187050902846892
2019-12-14,-0.2045819676938634
2019-12-15,-0.4309833525809225
2019-12-16,-0.1376831924756527
2019-12-17,0.11482127622201643
2019-12-18,0.2797445395330157
2019-12-19,-0.08399391872630402
2019-12-20,-0.04320658139662148
2019-12-21,-0.17966607094287523
2019-12-22,-0.4101148179232122
2019-12-23,-0.12102266277465068
2019-12-24,0.1272627933267635
2019-12-25,0.28811126858248537
2019-12-26,-0.07940269407495798
2019-12-27,-0.041942673238007655
2019-12-28,-0.18114451559714012
2019-12-29,-0.4136317459422344
2019-12-30,-0.12577845853113023
2019-12-31,0.12213570247108871
2020-01-01,0.28351684210719036
2020-01-02,-0.08255845009048463
2020-01-03,-0.04278767566102398
2020-01-04,-0.17887696990219798
2020-01-05,-0.40755562371605114
2020-01-06,-0.11533679521716733
2020-01-07,0.1373309436891509
2020-01-08,0.30365951269686764
2020-01-09,-0.05748828702382497
2020-01-10,-0.01303680824289924
2020-01-11,-0.14492487156547915
2020-01-12,-0.37011259462540325
2020-01-13,-0.07533419299144173
2020-01-14,0.17883853760602525
2020-01-15,0.345359108950114
2020-01-16,-0.01705568488830872
2020-01-17,0.024562193377336144
2020-01-18,-0.11179013559689316
2020-01-19,-0.3430893766318257
2020-01-20,-0.056036335316575564
2020-01-21,0.18880141695282193
2020-01-22,0.34459243886753355
2020-01-23,-0.029763368867424284
2020-01-24,-0.0010703892840822904
2020-01-25,-0.15106470065301036
2020-01-26,-0.39642362872863846
2020-01-27,-0.12352385529607052
2020-01-28,0.10740710680097278
2020-01-29,0.24988427657458598
2020-01-30,-0.136849562369243
2020-01-31,-0.11926958595046483
2020-02-01,-0.2788062977523392
2020-02-02,-0.5318645325171381
2020-02-03,-0.2645902326420636
2020-02-04,-0.037029518196965816
2020-02-05,0.1044584101650811
2020-02-06,-0.28081821315757116
2020-02-07,-0.2593324361462208
2020-02-08,-0.412577102202519
2020-02-09,-0.6570830809668351
2020-02-10,-0.379183343761913
2020-02-11,-0.1391674532276017
2020-02-12,0.016311885303204515
2020-02-13,-0.35377270302067876
2020-02-14,-0.3162626341002902
2020-02-15,-0.4530414081630092
2020-02-16,-0.6810415506260441
2020-02-17,-0.3869969116215288
2020-02-18,-0.1315852485178343
2020-02-19,0.038176896235128904
2020-02-20,-0.3190662553018013
2020-02-21,-0.2704389598996342
2020-02-22,-0.39805314401364755
2020-02-23,-0.6190080615869679
2020-02-24,-0.3201371297401454
2020-02-25,-0.06214706459195535
2020-02-26,0.1079885316167849
2020-02-27,-0.25097221978756434
2020-02-28,-0.20597189485763234
2020-02-29,-0.33887831134149116
2020-03-01,-0.5664915858736556
2020-03-02,-0.27530021976102104
2020-03-03,-0.025631080059111938
2020-03-04,0.13594488081715989
